               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.04053,             0.02202,           0.0037665,             0.58845,             0.62951,             0.57346,             0.25273,             0.04164,            0.010138,            0.009025,           0.0090694,           0.0090694,           0.0090694
                  49,             0.04022,            0.022185,           0.0033857,             0.57511,             0.63407,             0.57408,             0.25226,            0.041865,            0.010192,           0.0090403,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039986,            0.021765,           0.0032717,             0.57976,             0.63771,             0.57326,             0.24995,            0.041995,            0.010152,           0.0092106,           0.0090298,           0.0090298,           0.0090298
                  51,            0.040187,            0.021952,            0.003899,             0.57327,             0.63002,              0.5683,             0.24712,            0.042187,            0.010163,           0.0086671,             0.00901,             0.00901,             0.00901
                  52,            0.039887,            0.021949,           0.0033061,             0.59517,             0.62237,             0.58667,             0.25172,            0.041879,            0.010142,           0.0092604,           0.0089902,           0.0089902,           0.0089902
                  53,            0.039736,            0.021828,           0.0035635,             0.57065,              0.6573,             0.58961,             0.26056,            0.042005,            0.010227,            0.009018,           0.0089704,           0.0089704,           0.0089704
                  54,            0.039707,            0.022038,           0.0035022,             0.57772,             0.63563,              0.5752,             0.25007,            0.041803,            0.010144,           0.0087819,           0.0089506,           0.0089506,           0.0089506
                  55,            0.039454,            0.021613,           0.0032343,              0.5598,             0.65071,             0.56858,             0.25069,            0.041986,            0.010144,           0.0089148,           0.0089308,           0.0089308,           0.0089308
                  56,            0.039485,            0.021808,           0.0031943,             0.56804,             0.65535,             0.57457,             0.25757,            0.041806,            0.010218,           0.0092396,            0.008911,            0.008911,            0.008911
                  57,            0.039538,            0.021782,           0.0033501,             0.60179,             0.62167,             0.57901,             0.25937,            0.042097,            0.010247,           0.0091792,           0.0088912,           0.0088912,           0.0088912
                  58,            0.039236,            0.021483,           0.0033637,             0.58347,             0.63207,             0.57704,              0.2585,            0.041972,            0.010234,           0.0089963,           0.0088714,           0.0088714,           0.0088714
                  59,            0.039502,            0.021768,           0.0033245,             0.57304,             0.62728,             0.56617,              0.2542,            0.042174,            0.010305,           0.0089155,           0.0088516,           0.0088516,           0.0088516
                  60,            0.039219,            0.021597,           0.0033072,             0.56944,               0.645,             0.57361,             0.25589,            0.042422,             0.01026,           0.0099111,           0.0088318,           0.0088318,           0.0088318
                  61,             0.03886,            0.021688,           0.0032095,             0.55874,             0.64583,             0.56151,             0.25131,            0.042354,            0.010331,            0.010152,            0.008812,            0.008812,            0.008812
                  62,            0.038762,             0.02165,           0.0032184,             0.57148,             0.63931,             0.55831,             0.24845,            0.042346,            0.010382,            0.010239,           0.0087922,           0.0087922,           0.0087922
                  63,            0.038744,            0.021642,           0.0030749,             0.56824,             0.64368,              0.5626,             0.24764,            0.042486,            0.010362,            0.010448,           0.0087724,           0.0087724,           0.0087724
                  64,            0.038973,            0.021558,           0.0034797,             0.56618,             0.64449,             0.55961,             0.25225,             0.04216,            0.010369,            0.010156,           0.0087526,           0.0087526,           0.0087526
                  65,            0.038841,            0.021666,           0.0033591,             0.57508,             0.63586,             0.56053,             0.25404,            0.042183,            0.010382,           0.0098277,           0.0087328,           0.0087328,           0.0087328
                  66,            0.038727,             0.02153,           0.0032475,              0.5565,             0.64458,               0.562,              0.2576,            0.042086,             0.01042,           0.0099288,            0.008713,            0.008713,            0.008713
                  67,            0.038867,            0.021259,           0.0030948,             0.56382,              0.6409,             0.56811,             0.25739,            0.042063,            0.010434,            0.009921,           0.0086932,           0.0086932,           0.0086932
                  68,            0.038466,            0.021281,           0.0029324,             0.56798,             0.62563,             0.56104,             0.25664,            0.042049,            0.010467,           0.0098815,           0.0086734,           0.0086734,           0.0086734
                  69,            0.038649,            0.021561,           0.0030509,             0.56157,             0.63841,             0.55869,             0.25455,            0.042137,             0.01052,           0.0098205,           0.0086536,           0.0086536,           0.0086536
                  70,            0.038302,            0.021215,           0.0030651,              0.5505,             0.64305,             0.55769,             0.25502,             0.04212,            0.010515,           0.0096557,           0.0086338,           0.0086338,           0.0086338
                  71,            0.038467,            0.021402,           0.0031196,             0.54846,             0.64143,              0.5569,             0.25309,            0.042106,            0.010542,           0.0094983,            0.008614,            0.008614,            0.008614
                  72,            0.038249,             0.02133,           0.0029433,             0.56126,             0.63214,             0.56195,             0.25491,            0.042199,            0.010512,           0.0092356,           0.0085942,           0.0085942,           0.0085942
                  73,            0.038139,            0.021499,           0.0033964,             0.56162,             0.62664,             0.55877,             0.25534,            0.042192,            0.010524,           0.0094328,           0.0085744,           0.0085744,           0.0085744
                  74,             0.03831,            0.021254,           0.0028591,             0.55253,             0.62689,             0.55518,             0.25388,            0.042145,            0.010506,           0.0093423,           0.0085546,           0.0085546,           0.0085546
                  75,            0.037952,             0.02109,           0.0031443,             0.55422,             0.62412,             0.55231,             0.25351,             0.04228,            0.010514,           0.0097506,           0.0085348,           0.0085348,           0.0085348
                  76,            0.037964,            0.021227,           0.0026849,             0.56425,             0.63738,             0.56151,             0.25341,            0.042344,            0.010508,           0.0098854,            0.008515,            0.008515,            0.008515
                  77,             0.03782,            0.021191,           0.0031608,             0.56443,             0.63819,             0.56048,             0.25333,            0.042378,             0.01052,            0.010021,           0.0084952,           0.0084952,           0.0084952
                  78,             0.03772,            0.021057,           0.0029156,              0.5619,             0.63858,             0.55632,             0.25229,            0.042414,             0.01054,            0.010042,           0.0084754,           0.0084754,           0.0084754
                  79,            0.037435,            0.020974,            0.002761,             0.55727,             0.63696,             0.55228,             0.24855,            0.042376,            0.010561,            0.010266,           0.0084556,           0.0084556,           0.0084556
                  80,            0.037308,            0.020844,           0.0029667,             0.55638,             0.63318,             0.54924,             0.24831,            0.042362,            0.010566,            0.010312,           0.0084358,           0.0084358,           0.0084358
                  81,            0.038041,            0.021246,           0.0031533,             0.55831,             0.62715,             0.54901,             0.24994,            0.042291,            0.010558,            0.010253,            0.008416,            0.008416,            0.008416
                  82,            0.037759,             0.02104,           0.0032047,             0.55578,             0.62531,             0.54954,             0.25259,            0.042304,             0.01059,            0.010455,           0.0083962,           0.0083962,           0.0083962
                  83,            0.037595,            0.021073,           0.0032669,             0.55057,             0.62703,             0.55033,             0.25212,            0.042375,            0.010631,            0.010563,           0.0083764,           0.0083764,           0.0083764
                  84,            0.037588,            0.021019,           0.0031727,             0.54949,             0.62734,             0.54325,             0.25045,            0.042442,            0.010652,            0.010586,           0.0083566,           0.0083566,           0.0083566
                  85,            0.037547,             0.02109,           0.0030067,              0.5505,             0.62207,             0.54659,             0.25158,            0.042569,            0.010651,            0.010458,           0.0083368,           0.0083368,           0.0083368
                  86,            0.036861,            0.020631,           0.0026912,             0.55822,             0.61544,             0.54203,               0.251,            0.042689,            0.010677,            0.010503,            0.008317,            0.008317,            0.008317
                  87,            0.036842,            0.020861,           0.0025988,             0.55244,             0.61951,             0.54223,             0.25123,            0.042734,            0.010702,            0.010536,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03713,            0.020929,           0.0031348,             0.55555,             0.62029,             0.54244,             0.25179,            0.042752,            0.010698,            0.010553,           0.0082774,           0.0082774,           0.0082774
                  89,            0.037157,            0.020742,           0.0029076,              0.5605,             0.62478,             0.54542,             0.25099,            0.042805,            0.010699,            0.010529,           0.0082576,           0.0082576,           0.0082576
                  90,            0.036931,            0.020927,           0.0026568,             0.56166,             0.62495,             0.54557,             0.25067,            0.042862,            0.010708,            0.010445,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036744,             0.02075,           0.0029993,             0.56181,             0.62242,             0.54651,             0.25071,            0.042854,             0.01072,            0.010359,            0.008218,            0.008218,            0.008218
                  92,            0.036611,            0.020908,           0.0029423,             0.56385,             0.61742,              0.5436,             0.25117,             0.04286,            0.010742,            0.010285,           0.0081982,           0.0081982,           0.0081982
                  93,            0.036961,            0.020969,           0.0026973,             0.56342,             0.61392,             0.54417,             0.25099,            0.042856,            0.010755,             0.01029,           0.0081784,           0.0081784,           0.0081784
                  94,            0.036534,            0.020931,           0.0026475,             0.55831,             0.61988,             0.54411,             0.25071,            0.042843,            0.010777,            0.010301,           0.0081586,           0.0081586,           0.0081586
                  95,            0.036458,            0.020724,           0.0027542,             0.55423,             0.62155,             0.54364,             0.25069,             0.04282,            0.010794,            0.010307,           0.0081388,           0.0081388,           0.0081388
                  96,            0.036394,            0.020732,           0.0026708,             0.55633,             0.61832,             0.54402,             0.25067,              0.0428,            0.010813,            0.010337,            0.008119,            0.008119,            0.008119
                  97,            0.036449,            0.020897,           0.0026733,              0.5558,             0.61487,             0.54489,             0.25055,            0.042786,            0.010828,            0.010408,           0.0080992,           0.0080992,           0.0080992
                  98,            0.036298,            0.020707,           0.0028486,             0.55885,             0.60613,             0.54062,              0.2506,            0.042795,            0.010849,            0.010501,           0.0080794,           0.0080794,           0.0080794
                  99,            0.036336,            0.020487,           0.0028613,             0.56201,             0.60418,             0.54052,             0.25013,            0.042838,            0.010867,            0.010565,           0.0080596,           0.0080596,           0.0080596
                 100,            0.036544,            0.020741,           0.0028636,             0.55178,             0.60541,             0.53875,             0.25018,            0.042848,            0.010877,            0.010604,           0.0080398,           0.0080398,           0.0080398
